,tmed,velmedia,presmed,fecha
2825,8.6,3.9,973.35,2014-12-08
2831,4.6,6.4,976.85,2014-12-09
2833,5.7,0.6,977.5,2014-12-10
2839,7.0,3.6,974.35,2014-12-11
2843,6.0,0.3,965.45,2014-12-12
2844,10.0,3.1,960.25,2014-12-13
2848,8.4,0.6,963.05,2014-12-14
2855,8.2,5.0,966.45,2014-12-15
2858,8.6,4.4,965.8,2014-12-16
2863,9.9,3.9,971.75,2014-12-17
2866,10.5,4.2,975.3499999999999,2014-12-18
2869,10.0,4.4,977.7,2014-12-19
2873,10.8,3.1,979.7,2014-12-20
2877,7.2,4.2,979.4,2014-12-21
2882,5.2,1.7,978.3,2014-12-22
2885,1.6,0.3,976.3,2014-12-23
2890,2.5,0.3,976.5,2014-12-24
2895,5.6,3.3,978.85,2014-12-25
2896,8.2,2.5,977.3499999999999,2014-12-26
2901,9.0,5.3,966.9,2014-12-27
2905,3.8,3.3,966.5999999999999,2014-12-28
2910,0.6,6.1,979.0999999999999,2014-12-29
2912,2.0,6.9,981.45,2014-12-30
2918,4.5,3.6,978.25,2014-12-31
2922,5.4,1.9,981.05,2015-01-01
2926,6.8,2.5,983.2,2015-01-02
2929,6.8,0.8,982.8,2015-01-03
2934,9.3,3.6,980.6500000000001,2015-01-04
2938,5.2,0.6,975.75,2015-01-05
2940,4.2,2.8,973.65,2015-01-06
2947,7.1,1.1,977.4000000000001,2015-01-07
2948,2.5,0.8,984.3,2015-01-08
2952,8.4,0.6,987.95,2015-01-09
2956,7.3,2.5,981.5,2015-01-10
2960,5.4,4.4,979.7,2015-01-11
2964,5.0,0.0,976.95,2015-01-12
2969,5.8,1.4,970.8499999999999,2015-01-13
2974,7.6,1.9,970.45,2015-01-14
2977,8.8,7.5,961.0,2015-01-15
2983,6.2,2.5,959.95,2015-01-16
2984,5.5,0.8,967.05,2015-01-17
2990,2.0,4.7,960.0,2015-01-18
2992,3.2,3.3,958.5,2015-01-19
2998,1.9,0.3,957.8,2015-01-20
3000,3.2,2.2,955.05,2015-01-21
3004,3.4,3.1,960.85,2015-01-22
3009,4.8,5.8,970.6,2015-01-23
3013,5.6,5.6,975.0,2015-01-24
3016,4.4,9.2,976.85,2015-01-25
3020,5.2,5.8,977.1,2015-01-26
3025,6.6,4.7,976.0,2015-01-27
3029,6.9,1.9,970.5,2015-01-28
3034,7.1,1.1,955.6500000000001,2015-01-29
3036,6.7,3.1,942.1,2015-01-30
3042,3.8,1.7,944.25,2015-01-31
3046,4.0,4.4,955.4,2015-02-01
3049,4.2,1.1,952.5999999999999,2015-02-02
3052,4.2,2.5,947.8,2015-02-03
3057,0.6,9.2,953.35,2015-02-04
3060,0.3,9.4,960.6,2015-02-05
3066,-1.0,7.2,959.8499999999999,2015-02-06
3071,1.4,2.8,966.8499999999999,2015-02-07
3073,1.4,6.9,972.7,2015-02-08
3076,4.0,2.2,972.65,2015-02-09
3080,3.5,0.8,970.75,2015-02-10
3084,3.9,1.9,968.55,2015-02-11
3088,6.6,0.3,967.1,2015-02-12
3093,7.4,2.5,965.7,2015-02-13
3098,5.9,1.1,960.0,2015-02-14
3100,8.2,1.7,958.75,2015-02-15
3104,6.7,2.8,966.8499999999999,2015-02-16
3109,5.8,6.9,975.55,2015-02-17
3114,4.6,5.6,980.6,2015-02-18
3118,6.0,0.6,976.75,2015-02-19
3122,5.8,2.8,965.3499999999999,2015-02-20
3126,4.6,3.3,956.3499999999999,2015-02-21
3131,5.7,5.0,960.15,2015-02-22
3133,9.7,2.5,960.55,2015-02-23
3137,3.6,3.3,968.2,2015-02-24
3143,7.1,5.0,971.55,2015-02-25
3147,10.0,2.8,968.9,2015-02-26
3149,6.2,6.7,969.8,2015-02-27
3154,7.4,1.4,969.3,2015-02-28
3158,12.2,0.8,968.1,2015-03-01
3162,12.8,3.1,969.75,2015-03-02
3166,14.9,2.8,971.45,2015-03-03
3170,5.9,8.3,978.05,2015-03-04
3175,6.2,6.4,981.1,2015-03-05
3176,12.4,1.4,977.1,2015-03-06
3180,12.4,1.7,974.9000000000001,2015-03-07
3184,11.9,4.4,972.05,2015-03-08
3189,11.8,2.5,971.5999999999999,2015-03-09
3194,13.0,2.5,971.7,2015-03-10
